"","x"
"1",0.847377973126972
"2",0.876879191909931
"3",0.842850466973755
"4",0.900435101243696
"5",0.924724286287374
"6",0.894029247267266
"7",0.929894747980706
"8",0.964907145510602
"9",0.976128094237335
"10",0.987099152997399
"11",0.993440618309489
"12",0.959536835363469
"13",0.935634488481252
"14",0.883783241256018
"15",0.870193048924904
"16",0.838978382775047
"17",0.846242056723679
"18",0.81408333329886
"19",0.833118990693415
"20",0.784503798874923
"21",0.746526956171799
"22",0.714475126704954
"23",0.689140935893208
"24",0.712750876830336
"25",0.718471904722644
"26",0.67619845691986
"27",0.648840365678194
"28",0.635398216489632
"29",0.653507690962117
"30",0.643208562682613
"31",0.671526145344821
"32",0.649271193362368
"33",0.667722527454819
"34",0.631999073473835
"35",0.64734587022442
"36",0.635171972448994
"37",0.649107668654302
"38",0.576471903481605
"39",0.600952962635584
"40",0.59072995622767
"41",0.590923484756489
"42",0.567383062417167
"43",0.560067184808396
"44",0.550474376411323
"45",0.530784857332368
"46",0.548945284477962
"47",0.568779974324144
"48",0.540444352998318
"49",0.530480106002322
"50",0.628151709011196
"51",0.603909310281977
"52",0.575143977945195
"53",0.584791124538199
"54",0.63986046123737
"55",0.603777977647989
"56",0.595863529876383
"57",0.577407535191536
"58",0.553550652765311
"59",0.56931985171373
"60",0.608678934835486
"61",0.552469514427975
"62",0.542967004447663
"63",0.55666726761594
"64",0.589543791823512
"65",0.548674069305816
"66",0.606941123168793
"67",0.616985868820074
"68",0.598111854200134
"69",0.581765073657746
"70",0.686942331278744
"71",0.744543402330795
"72",0.753096075033971
"73",0.730690657602026
"74",0.656000754169395
"75",0.657558642668142
"76",0.62654282816888
"77",0.589172390482925
"78",0.586823284071776
"79",0.59336462169841
"80",0.586745033761501
"81",0.56210980527825
"82",0.623362758714927
"83",0.598695080007586
"84",0.570635705097141
"85",0.586937193919321
"86",0.587732070694805
"87",0.585948596967577
"88",0.571645265651274
"89",0.600574520178553
"90",0.667902951384542
"91",0.646735130271644
"92",0.669585481255687
"93",0.73652412613882
"94",0.750903549963077
"95",0.753211575783766
"96",0.77007235816273
"97",0.810719122962151
"98",0.795202657475037
"99",0.781698023284212
"100",0.776234777584917
"101",0.708842259131071
"102",0.809608668196603
"103",0.73706429210595
"104",0.728013792186011
"105",0.678926722185352
"106",0.683687194461224
"107",0.658200693718496
"108",0.636047515163617
"109",0.69160684744129
"110",0.620516184157988
"111",0.635752861940142
"112",0.616666148182339
"113",0.699843078226938
"114",0.686080365518715
"115",0.69870910853933
"116",0.728400577157007
"117",0.715579987742628
"118",0.706304355536969
"119",0.716220147788073
"120",0.710820161900977
"121",0.690380539775078
"122",0.728029042109
"123",0.725176939509898
"124",0.73896459029637
"125",0.750003599339409
"126",0.719378112743096
"127",0.75604565620467
"128",0.799477576040922
"129",0.784421923109754
"130",0.758052054150453
"131",0.738321764036834
"132",0.753157302267882
"133",0.737006251555985
"134",0.674903966903762
"135",0.687501138254243
"136",0.678767588620328
"137",0.677310788305453
"138",0.679326773097014
"139",0.667966515769937
"140",0.682662220348021
"141",0.6109801564935
"142",0.583988818576009
"143",0.592333820197882
"144",0.54381008255747
"145",0.494951855277647
"146",0.465745665549249
"147",0.502054678950943
"148",0.4817876542611
"149",0.501886914050315
"150",0.529146487929886
"151",0.508488214583409
"152",0.50330935284954
"153",0.440345052137073
"154",0.488922954086694
"155",0.433738142539832
"156",0.439565102792406
"157",0.466722405551618
"158",0.492583401540736
"159",0.475103231169486
"160",0.450915715980739
"161",0.385572896866302
"162",0.436899193170847
"163",0.440171632466913
"164",0.449119712771199
"165",0.44500636041924
"166",0.497302571973349
"167",0.512012293182732
"168",0.497813818833033
"169",0.503437459601155
"170",0.534088469637238
"171",0.579662704198019
"172",0.56888952346648
"173",0.588027558204332
"174",0.596051075344628
"175",0.581798097562877
"176",0.607105479231386
"177",0.57100248715591
"178",0.586167002352133
"179",0.456357716294053
"180",0.478139278253263
"181",0.420760938976303
"182",0.419371772799382
"183",0.478132923465584
"184",0.4431781351242
"185",0.496031974512458
"186",0.513697053166247
"187",0.475320824973963
"188",0.528782981492043
"189",0.497850518576763
"190",0.553928795848747
"191",0.537547067378746
"192",0.566562303048747
"193",0.540451473334729
"194",0.595951925099315
"195",0.540378716175064
"196",0.554021317670028
"197",0.534301195018172
"198",0.577045892619979
"199",0.576037576210149
"200",0.596169013983048
